table_name	column_name	description_type	description	notes
		database	OpenAlex is a free and open database of scholary papers, journals, researchers, and institutions along with all the ways they are connected. It is made by the nonprofit OurResearch. For more information, see https://openalex.org.<br><br>The CWTS version of the OpenAlex database is based on the OpenAlex snapshot in native format. Loading the snapshot directly into a relation database is not possible and therefore some transformations were needed to make. However, with the CWTS relational model of OpenAlex we tried to stay as close as possible to the native format of OpenAlex. In addition to this document, the documentation on the OpenAlex entities available at https://docs.openalex.org/api-entities/entities-overview should therefore provide a good description of the tables and columns in the CWTS version of the OpenAlex database.<br><br>License: CC0, https://creativecommons.org/publicdomain/zero/1.0.	
apc_provenance		table	Each row in this table represents a source from which APC provenance data is taken (e.g., 'doaj' or 'openapc').	
apc_provenance	apc_provenance_id	column	CWTS APC provenance data source identifier.	
apc_provenance	apc_provenance	column	APC provenance data source.	
author		table	Each row in this table represents an author. For more information, see https://docs.openalex.org/api-entities/authors.	
author	author_id	column	OpenAlex author identifier (prefix with 'https://openalex.com/A' to get the full identifier).	
author	author	column	Full name of the author.	
author	last_known_institution_id	column	Last known institution affiliation of the author. See [institution] table.	
author	orcid	column	ORCID author identifier. See ORCID database.	
author	openalex_id	column	OpenAlex identifier (prefix with 'https://openalex.com/' to get the full identifier).	
author	scopus_id	column	Scopus author identifier.	
author	wikipedia_url	column	URL of the Wikipedia page of the author.	
author	updated_date	column	The date and time anything in the corresponding OpenAlex author record was last changed.	
author	created_date	column	The date the author was introduced in the OpenAlex dataset.	
author_alternative_name		table	Each row in this table represents an alternative to the name of an author.	
author_alternative_name	author_id	column	OpenAlex author identifier. See [author] table.	
author_alternative_name	alternative_name_seq	column	Alternative name sequence number.	
author_alternative_name	alternative_name	column	An alternative to the name of the author.	
author_position		table	Each row in this table represents the position that an author can have in the author list (i.e., 'first', 'middle', or 'last').	
author_position	author_position_id	column	CWTS author position identifier.	
author_position	author_position	column	Author position.	
citation		table	Each row in this table represents a citation.	
citation	citing_work_id	column	OpenAlex work identifier of the citing work. See [work] table.	
citation	reference_seq	column	Citation sequence number.	
citation	cited_work_id	column	OpenAlex work identifier of the cited work. See [work] table.	
citation	pub_year	column	Publication year of the cited work.	
citation	cit_window	column	Citation window in years. Calculated by subtracting the publication year of the cited work from the publication year of the citing work.	
citation	is_self_cit	column	Citation is an author self-citation (0 = no, 1 = yes). A citation is regarded as an author self-citation if the citing and the cited publication have at least one author name in common.	
city		table	Each row in this table represents a city.	
city	geonames_city_id	column	GeoNames city identifier. See GeoNames database.	
city	city	column	City name.	
concept		table	Each row in this table represents a concept. A concept is an abstract idea that a work is about. For more information, see https://docs.openalex.org/api-entities/concepts.	
concept	concept_id	column	OpenAlex concept identifier (prefix with 'https://openalex.com/C' to get the full identifier).	
concept	concept	column	Concept name.	
concept	description	column	Concept description.	
concept	level	column	Concept hierarchy level. Concepts are organized hierarchically in a tree. There are 19 root-level concepts, and six levels of descendents branching out from them.	
concept	openalex_id	column	OpenAlex identifier (prefix with 'https://openalex.com/' to get the full identifier).	
concept	mag_id	column	Microsoft Academic Graph (MAG) concept identifier.	
concept	wikidata_id	column	Wikidata concept identifier. For more information, see https://www.wikidata.org.	
concept	wikipedia_url	column	Wikipedia page URL of the concept.	
concept	image_url	column	URL of an image representing this concept.	
